naam,provincie,slug
's-Hertogenbosch,Noord-Brabant,s-hertogenbosch
Aa en Hunze,Drenthe,aa-en-hunze
Aalsmeer,Noord-Holland,aalsmeer
Aalten,Gelderland,aalten
Achtkarspelen,Friesland,achtkarspelen
Alblasserdam,Zuid-Holland,alblasserdam
Albrandswaard,Zuid-Holland,albrandswaard
Alkmaar,Noord-Holland,alkmaar
Almelo,Overijssel,almelo
Almere,Flevoland,almere
Alphen aan den Rijn,Zuid-Holland,alphen-aan-den-rijn
Alphen-Chaam,Noord-Brabant,alphen-chaam
Altena,Noord-Brabant,altena
Ameland,Friesland,ameland
Amersfoort,Utrecht,amersfoort
Amstelveen,Noord-Holland,amstelveen
Amsterdam,Noord-Holland,amsterdam
Apeldoorn,Gelderland,apeldoorn
Arnhem,Gelderland,arnhem
Assen,Drenthe,assen
Asten,Noord-Brabant,asten
Baarle-Nassau,Noord-Brabant,baarle-nassau
Baarn,Utrecht,baarn
Barendrecht,Zuid-Holland,barendrecht
Barneveld,Gelderland,barneveld
Beek,Limburg,beek
Beekdaelen,Limburg,beekdaelen
Beesel,Limburg,beesel
Berg en Dal,Gelderland,berg-en-dal
Bergeijk,Noord-Brabant,bergeijk
Bergen,Limburg,bergen
Bergen,Noord-Holland,bergen
Bergen op Zoom,Noord-Brabant,bergen-op-zoom
Berkelland,Gelderland,berkelland
Bernheze,Noord-Brabant,bernheze
Best,Noord-Brabant,best
Beuningen,Gelderland,beuningen
Beverwijk,Noord-Holland,beverwijk
Bladel,Noord-Brabant,bladel
Blaricum,Noord-Holland,blaricum
Bloemendaal,Noord-Holland,bloemendaal
Bodegraven-Reeuwijk,Zuid-Holland,bodegraven-reeuwijk
Boekel,Noord-Brabant,boekel
Borger-Odoorn,Drenthe,borger-odoorn
Borne,Overijssel,borne
Borsele,Zeeland,borsele
Boxtel,Noord-Brabant,boxtel
Breda,Noord-Brabant,breda
Bronckhorst,Gelderland,bronckhorst
Brummen,Gelderland,brummen
Brunssum,Limburg,brunssum
Bunnik,Utrecht,bunnik
Bunschoten,Utrecht,bunschoten
Buren,Gelderland,buren
Capelle aan den IJssel,Zuid-Holland,capelle-aan-den-ijssel
Castricum,Noord-Holland,castricum
Coevorden,Drenthe,coevorden
Cranendonck,Noord-Brabant,cranendonck
Culemborg,Gelderland,culemborg
Dalfsen,Overijssel,dalfsen
Dantumadeel,Friesland,dantumadeel
De Bilt,Utrecht,de-bilt
De Friese Meren,Friesland,de-friese-meren
De Ronde Venen,Utrecht,de-ronde-venen
De Wolden,Drenthe,de-wolden
Delft,Zuid-Holland,delft
Den Haag,Zuid-Holland,den-haag
Den Helder,Noord-Holland,den-helder
Deurne,Noord-Brabant,deurne
Deventer,Overijssel,deventer
Diemen,Noord-Holland,diemen
Dijk en Waard,Noord-Holland,dijk-en-waard
Dinkelland,Overijssel,dinkelland
Doesburg,Gelderland,doesburg
Doetinchem,Gelderland,doetinchem
Dongen,Noord-Brabant,dongen
Dordrecht,Zuid-Holland,dordrecht
Drechterland,Noord-Holland,drechterland
Drimmelen,Noord-Brabant,drimmelen
Dronten,Flevoland,dronten
Druten,Gelderland,druten
Duiven,Gelderland,duiven
Echt-Susteren,Limburg,echt-susteren
Edam-Volendam,Noord-Holland,edam-volendam
Ede,Gelderland,ede
Eemnes,Utrecht,eemnes
Eemsdelta,Groningen,eemsdelta
Eersel,Noord-Brabant,eersel
Eijsden-Margraten,Limburg,eijsden-margraten
Eindhoven,Noord-Brabant,eindhoven
Elburg,Gelderland,elburg
Emmen,Drenthe,emmen
Enkhuizen,Noord-Holland,enkhuizen
Enschede,Overijssel,enschede
Epe,Gelderland,epe
Ermelo,Gelderland,ermelo
Etten-Leur,Noord-Brabant,etten-leur
Geertruidenberg,Noord-Brabant,geertruidenberg
Geldrop-Mierlo,Noord-Brabant,geldrop-mierlo
Gemert-Bakel,Noord-Brabant,gemert-bakel
Gennep,Limburg,gennep
Gilze en Rijen,Noord-Brabant,gilze-en-rijen
Goeree-Overflakkee,Zuid-Holland,goeree-overflakkee
Goes,Zeeland,goes
Goirle,Noord-Brabant,goirle
Gooise Meren,Noord-Holland,gooise-meren
Gorinchem,Zuid-Holland,gorinchem
Gouda,Zuid-Holland,gouda
Groningen,Groningen,groningen
Gulpen-Wittem,Limburg,gulpen-wittem
Haaksbergen,Overijssel,haaksbergen
Haarlem,Noord-Holland,haarlem
Haarlemmermeer,Noord-Holland,haarlemmermeer
Halderberge,Noord-Brabant,halderberge
Hardenberg,Overijssel,hardenberg
Harderwijk,Gelderland,harderwijk
Hardinxveld-Giessendam,Zuid-Holland,hardinxveld-giessendam
Harlingen,Friesland,harlingen
Hattem,Gelderland,hattem
Heemskerk,Noord-Holland,heemskerk
Heemstede,Noord-Holland,heemstede
Heerde,Gelderland,heerde
Heerenveen,Friesland,heerenveen
Heerlen,Limburg,heerlen
Heeze-Leende,Noord-Brabant,heeze-leende
Heiloo,Noord-Holland,heiloo
Hellendoorn,Overijssel,hellendoorn
Helmond,Noord-Brabant,helmond
Hendrik-Ido-Ambacht,Zuid-Holland,hendrik-ido-ambacht
Hengelo,Overijssel,hengelo
Het Hogeland,Groningen,het-hogeland
Heumen,Gelderland,heumen
Heusden,Noord-Brabant,heusden
Hillegom,Zuid-Holland,hillegom
Hilvarenbeek,Noord-Brabant,hilvarenbeek
Hilversum,Noord-Holland,hilversum
Hoeksche Waard,Zuid-Holland,hoeksche-waard
Hof van Twente,Overijssel,hof-van-twente
Hollands Kroon,Noord-Holland,hollands-kroon
Hoogeveen,Drenthe,hoogeveen
Hoorn,Noord-Holland,hoorn
Horst aan de Maas,Limburg,horst-aan-de-maas
Houten,Utrecht,houten
Huizen,Noord-Holland,huizen
Hulst,Zeeland,hulst
IJsselstein,Utrecht,ijsselstein
Kaag en Braassem,Zuid-Holland,kaag-en-braassem
Kampen,Overijssel,kampen
Kapelle,Zeeland,kapelle
Katwijk,Zuid-Holland,katwijk
Kerkrade,Limburg,kerkrade
Koggenland,Noord-Holland,koggenland
Krimpen aan den IJssel,Zuid-Holland,krimpen-aan-den-ijssel
Krimpenerwaard,Zuid-Holland,krimpenerwaard
Laarbeek,Noord-Brabant,laarbeek
Land van Cuijk,Noord-Brabant,land-van-cuijk
Landgraaf,Limburg,landgraaf
Landsmeer,Noord-Holland,landsmeer
Lansingerland,Zuid-Holland,lansingerland
Laren,Noord-Holland,laren
Leeuwarden,Friesland,leeuwarden
Leiden,Zuid-Holland,leiden
Leiderdorp,Zuid-Holland,leiderdorp
Leidschendam-Voorburg,Zuid-Holland,leidschendam-voorburg
Lelystad,Flevoland,lelystad
Leudal,Limburg,leudal
Leusden,Utrecht,leusden
Lingewaard,Gelderland,lingewaard
Lisse,Zuid-Holland,lisse
Lochem,Gelderland,lochem
Loon op Zand,Noord-Brabant,loon-op-zand
Lopik,Utrecht,lopik
Losser,Overijssel,losser
Maasdriel,Gelderland,maasdriel
Maasgouw,Limburg,maasgouw
Maashorst,Noord-Brabant,maashorst
Maassluis,Zuid-Holland,maassluis
Maastricht,Limburg,maastricht
Medemblik,Noord-Holland,medemblik
Meerssen,Limburg,meerssen
Meierijstad,Noord-Brabant,meierijstad
Meppel,Drenthe,meppel
Middelburg,Zeeland,middelburg
Midden-Delfland,Zuid-Holland,midden-delfland
Midden-Drenthe,Drenthe,midden-drenthe
Midden-Groningen,Groningen,midden-groningen
Moerdijk,Noord-Brabant,moerdijk
Molenlanden,Zuid-Holland,molenlanden
Montferland,Gelderland,montferland
Montfoort,Utrecht,montfoort
Mook en Middelaar,Limburg,mook-en-middelaar
Neder-Betuwe,Gelderland,neder-betuwe
Nederweert,Limburg,nederweert
Nieuwegein,Utrecht,nieuwegein
Nieuwkoop,Zuid-Holland,nieuwkoop
Nijkerk,Gelderland,nijkerk
Nijmegen,Gelderland,nijmegen
Nissewaard,Zuid-Holland,nissewaard
Noardeast-Fryslân,Friesland,noardeast-fryslan
Noord-Beveland,Zeeland,noord-beveland
Noordenveld,Drenthe,noordenveld
Noordoostpolder,Flevoland,noordoostpolder
Noordwijk,Zuid-Holland,noordwijk
Nuenen c.a.,Noord-Brabant,nuenen-c-a
Nunspeet,Gelderland,nunspeet
Oegstgeest,Zuid-Holland,oegstgeest
Oirschot,Noord-Brabant,oirschot
Oisterwijk,Noord-Brabant,oisterwijk
Oldambt,Groningen,oldambt
Oldebroek,Gelderland,oldebroek
Oldenzaal,Overijssel,oldenzaal
Olst-Wijhe,Overijssel,olst-wijhe
Ommen,Overijssel,ommen
Oost Gelre,Gelderland,oost-gelre
Oosterhout,Noord-Brabant,oosterhout
Ooststellingwerf,Friesland,ooststellingwerf
Oostzaan,Noord-Holland,oostzaan
Opmeer,Noord-Holland,opmeer
Opsterland,Friesland,opsterland
Oss,Noord-Brabant,oss
Oude IJsselstreek,Gelderland,oude-ijsselstreek
Ouder-Amstel,Noord-Holland,ouder-amstel
Oudewater,Utrecht,oudewater
Overbetuwe,Gelderland,overbetuwe
Papendrecht,Zuid-Holland,papendrecht
Peel en Maas,Limburg,peel-en-maas
Pekela,Groningen,pekela
Pijnacker-Nootdorp,Zuid-Holland,pijnacker-nootdorp
Purmerend,Noord-Holland,purmerend
Putten,Gelderland,putten
Raalte,Overijssel,raalte
Reimerswaal,Zeeland,reimerswaal
Renkum,Gelderland,renkum
Renswoude,Utrecht,renswoude
Reusel-De Mierden,Noord-Brabant,reusel-de-mierden
Rheden,Gelderland,rheden
Rhenen,Utrecht,rhenen
Ridderkerk,Zuid-Holland,ridderkerk
Rijssen-Holten,Overijssel,rijssen-holten
Rijswijk,Zuid-Holland,rijswijk
Roerdalen,Limburg,roerdalen
Roermond,Limburg,roermond
Roosendaal,Noord-Brabant,roosendaal
Rotterdam,Zuid-Holland,rotterdam
Rozendaal,Gelderland,rozendaal
Rucphen,Noord-Brabant,rucphen
Schagen,Noord-Holland,schagen
Scherpenzeel,Gelderland,scherpenzeel
Schiedam,Zuid-Holland,schiedam
Schiermonnikoog,Friesland,schiermonnikoog
Schouwen-Duiveland,Zeeland,schouwen-duiveland
Simpelveld,Limburg,simpelveld
Sint-Michielsgestel,Noord-Brabant,sint-michielsgestel
